,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
0,NSR:StopPlace:3326,,Ånnerudjordet,,59.831790000000005,10.407958,,,1,,2,,,700
1,NSR:StopPlace:4657,,Einerveien,,59.525130000000004,10.706665,,,1,,2,,,700
2,NSR:StopPlace:3325,,Haugerud,,60.11375,11.050983,,,1,,2,,,700
3,NSR:StopPlace:4656,,Tajet,,60.0558,10.868992,,,1,,2,,,700
4,NSR:StopPlace:4659,,Bekkefaret,,59.522686,10.702276,,,1,,2,,,700
5,NSR:StopPlace:3328,,Fredbostubben,,59.74746999999999,10.623297,,,1,,2,,,700
6,NSR:StopPlace:5988,,Østensjø skole,,59.89913000000001,10.832192,,,1,,2,,,700
7,NSR:StopPlace:16067,,Amtmannsvingen,,59.75285699999999,10.260439,,,1,,2,,,700
8,NSR:StopPlace:3327,,Gamle Eltonveg,,60.136906,11.055939,,,1,,2,,,700
9,NSR:StopPlace:4658,,Seterhaugen,,59.99570500000001,10.902992,,,1,,2,,,700
10,NSR:StopPlace:16064,,Frydenlund,,59.751940000000005,10.254952000000001,,,1,,2,,,700
11,NSR:StopPlace:3329,,Gutugropa,,60.13323199999999,11.063214,,,1,,2,,,700
12,NSR:StopPlace:5992,,Aulitoppen,,60.04654,11.376445,,,1,,2,,,700
13,NSR:StopPlace:4660,,Myrlia,,59.99279,10.904747,,,1,,2,,,700
14,NSR:StopPlace:5993,,Bjerkedalen park,,59.94036,10.822085000000001,,,1,,2,,,700
15,NSR:StopPlace:3331,,Grani,,60.124719999999996,11.029908,,,1,,2,,,700
16,NSR:StopPlace:4662,,Helseheimen,,60.17201,11.169186999999999,,,1,,2,,,700
17,NSR:StopPlace:5990,,Refstadsvingen,,59.941727,10.817025,,,1,,2,,,700
18,NSR:StopPlace:5991,,Oppsal kirke,,59.900867000000005,10.841871000000001,,,1,,2,,,700
19,NSR:StopPlace:3330,,Oreholtet,,59.830647,10.417402000000001,,,1,,2,,,700
20,NSR:StopPlace:4661,,Hauger,,59.587254,10.682177000000001,,,1,,2,,,700
21,NSR:StopPlace:5996,,Brobekk,,59.944164,10.817557,,,1,,2,,,700
22,NSR:StopPlace:3333,,Gangfløtt,,60.13026,11.028497999999999,,,1,,2,,,700
23,NSR:StopPlace:4664,,Emmerstad,,59.586952000000004,10.66869,,,1,,2,,,700
24,NSR:StopPlace:5997,,Løypeveien,,59.89561,10.841344,,,1,,2,,,700
25,NSR:StopPlace:4663,,Nittedal stasjon,,60.058353000000004,10.86505,,,1,,2,,,700
